FX,RMSE,MAE,MAPE
GBP=X,0.027199145967126487,0.025484237405988906,3.2955712630325715
AUD=X,0.029018504663015157,0.02337042490641275,1.5876342309494962
CAD=X,0.027625336684475116,0.026638618221989385,2.0177959059658557
CHF=X,0.036292198146864414,0.03305091239787914,3.8066890877654602
CNY=X,0.10698778271192601,0.09962244387026187,1.3825459972579457
SGD=X,0.014799443023390375,0.012053238021002876,0.9073983875722595
JPY=X,3.906027786488694,3.251887568721065,2.281000819088896
EUR=X,0.018423034599501713,0.01643718613518609,1.8265811000462258
INR=X,0.8519668477024167,0.7727234451859085,0.9395855887015013
HKD=X,0.023596227605392924,0.020249808276141163,0.25912874156076177
